"Date","Price","Open","High","Low","Vol.","Change %"
"09/07/2022","306.96","308.25","310.09","304.50","","-0.91%"
"09/06/2022","309.78","310.09","313.13","307.49","","1.42%"
"09/02/2022","305.44","304.94","309.01","302.62","","0.21%"
"09/01/2022","304.81","311.48","313.26","304.67","","-3.18%"
"08/31/2022","314.83","319.48","321.99","308.30","","-0.92%"
"08/30/2022","317.74","321.14","322.48","316.53","","-1.65%"
"08/29/2022","323.06","324.40","325.12","318.81","","-2.34%"
"08/26/2022","330.80","332.68","338.45","329.86","","-0.03%"
"08/25/2022","330.89","326.91","331.52","325.70","","1.37%"
"08/24/2022","326.42","328.03","329.51","324.40","","-1.18%"
"08/23/2022","330.31","326.64","333.22","324.76","","1.04%"
"08/22/2022","326.91","327.72","330.18","322.88","","-0.48%"
"08/19/2022","328.48","325.79","329.51","323.42","","0.96%"
"08/18/2022","325.34","322.21","328.16","317.74","","1.28%"
"08/17/2022","321.23","324.63","327.00","319.84","","-1.12%"
"08/16/2022","324.85","322.93","326.64","321.50","","0.11%"
"08/15/2022","324.49","327.40","327.40","318.54","","-1.43%"
"08/12/2022","329.19","330.71","333.13","327.00","","-1.01%"
"08/11/2022","332.55","327.86","332.65","326.30","","1.54%"
"08/10/2022","327.52","323.09","328.14","318.81","","1.75%"
"08/09/2022","321.89","319.86","325.39","319.68","","-0.02%"
"08/08/2022","321.94","319.71","325.01","317.23","","0.96%"
"08/05/2022","318.87","314.24","321.74","313.08","","2.03%"
"08/04/2022","312.54","312.31","315.64","306.93","","0.42%"
"08/03/2022","311.24","314.51","316.85","309.58","","-1.46%"
"08/02/2022","315.86","312.18","319.50","309.67","","-0.68%"
"08/01/2022","318.01","319.00","322.77","315.28","","-0.87%"
"07/29/2022","320.80","313.12","320.98","310.70","","2.85%"
"07/28/2022","311.91","312.09","316.49","309.98","","1.30%"
"07/27/2022","307.92","302.93","309.26","302.35","","1.34%"
"07/26/2022","303.83","306.30","311.06","302.35","","0.89%"
"07/25/2022","301.14","299.16","305.40","297.86","","0.15%"
"07/22/2022","300.69","298.85","305.04","296.65","","1.55%"
"07/21/2022","296.11","295.03","297.55","291.94","","-0.80%"
"07/20/2022","298.49","296.33","302.84","296.33","","1.03%"
"07/19/2022","295.44","295.12","297.77","292.47","","-1.64%"
"07/18/2022","300.37","292.97","302.48","292.21","","3.46%"
"07/15/2022","290.32","289.74","294.18","281.21","","0.70%"
"07/14/2022","288.30","297.05","298.89","284.98","","-3.34%"
"07/13/2022","298.26","295.84","299.66","288.93","","1.05%"
"07/12/2022","295.17","309.58","310.16","295.08","","-4.15%"
"07/11/2022","307.96","309.94","313.39","304.19","","-2.60%"
"07/08/2022","316.17","317.43","319.32","309.22","","-1.40%"
"07/07/2022","320.66","306.84","321.34","306.52","","4.81%"
"07/06/2022","305.94","306.30","308.27","294.00","","-0.20%"
