"Date","Price","Open","High","Low","Vol.","Change %"
"04/13/2023","107.7188","107.6372","108.4405","107.4934","","0.09%"
"04/12/2023","107.6193","107.3728","107.7877","106.9332","","0.45%"
"04/11/2023","107.1386","106.3888","107.1889","106.3888","","0.84%"
"04/10/2023","106.2505","106.2011","106.5816","105.9495","","0.01%"
"04/06/2023","106.2398","106.4572","106.8229","105.9256","","-0.37%"
"04/05/2023","106.6344","106.6818","106.8240","106.1424","","0.11%"
"04/04/2023","106.5169","106.5794","106.8524","106.1292","","-0.02%"
"04/03/2023","106.5337","106.3044","107.3374","105.8528","","0.97%"
"03/31/2023","105.5076","104.4256","105.5726","103.8248","","1.07%"
"03/30/2023","104.3921","103.7387","104.6643","103.7260","","0.22%"
"03/29/2023","104.1591","104.3635","104.9276","103.8848","","-0.19%"
"03/28/2023","104.3620","104.0094","104.6313","103.7153","","0.59%"
"03/27/2023","103.7487","102.6066","103.8048","102.3800","","0.70%"
"03/24/2023","103.0238","102.1571","103.1796","101.6714","","0.46%"
"03/23/2023","102.5509","102.6816","103.4103","102.4577","","-0.02%"
"03/22/2023","102.5711","102.4915","103.0227","102.1518","","-0.13%"
"03/21/2023","102.7070","102.4854","103.1745","102.0440","","0.13%"
"03/20/2023","102.5698","102.6974","102.8564","101.6877","","-0.02%"
"03/17/2023","102.5945","103.5317","103.6978","101.9054","","-0.16%"
"03/16/2023","102.7609","102.3662","103.0036","101.6670","","0.60%"
"03/15/2023","102.1520","104.5326","104.6490","101.6154","","-1.97%"
"03/14/2023","104.2085","104.8996","105.1664","104.1573","","-0.88%"
"03/13/2023","105.1314","104.6662","105.8607","103.0645","","0.55%"
"03/10/2023","104.5533","103.7066","104.7907","103.3623","","0.34%"
"03/09/2023","104.1983","105.1457","105.7008","104.0838","","-0.81%"
"03/08/2023","105.0476","105.6460","105.7882","104.9578","","-0.69%"
"03/07/2023","105.7738","107.5544","107.5544","105.6847","","-1.45%"
"03/06/2023","107.3258","107.3410","107.5675","106.6185","","-0.91%"
"03/03/2023","108.3105","106.9586","108.3469","106.8151","","1.28%"
"03/02/2023","106.9377","107.2180","107.3137","106.6391","","-0.33%"
"03/01/2023","107.2923","106.5619","107.3133","106.0695","","1.07%"
"02/28/2023","106.1591","105.8283","106.2277","105.6622","","0.18%"
"02/27/2023","105.9698","105.6887","106.2737","105.3847","","0.40%"
"02/24/2023","105.5489","106.3873","106.5090","104.7415","","-0.41%"
"02/23/2023","105.9813","106.1813","106.7639","105.6603","","-0.14%"
"02/22/2023","106.1328","107.0334","107.1248","106.0912","","-0.85%"
"02/21/2023","107.0443","106.9864","107.6988","106.7826","","0.48%"
"02/17/2023","106.5327","107.2473","107.2496","105.8051","","-0.85%"
"02/16/2023","107.4432","107.8396","108.0157","107.2131","","0.04%"
"02/15/2023","107.4009","108.5141","108.5242","107.0575","","-1.25%"
"02/14/2023","108.7588","108.4884","109.1775","107.8802","","0.18%"
"02/13/2023","108.5619","108.5819","108.7471","107.9694","","-0.10%"
"02/10/2023","108.6756","107.6882","108.7515","107.3737","","0.72%"
