"Date","Price","Open","High","Low","Vol.","Change %"
"06/08/2023","55.6545","53.7474","55.8890","53.7413","","3.52%"
"06/07/2023","53.7604","53.5401","54.2509","53.4559","","0.41%"
"06/06/2023","53.5389","53.3865","53.8360","53.1106","","0.31%"
"06/05/2023","53.3734","53.4935","53.7695","53.2922","","-0.21%"
"06/02/2023","53.4839","53.9684","54.3191","53.3541","","-0.93%"
"06/01/2023","53.9863","53.3405","54.4222","53.3405","","1.34%"
"05/31/2023","53.2736","53.3933","53.6023","52.8614","","-0.22%"
"05/30/2023","53.3897","53.9078","54.3790","53.2501","","-0.91%"
"05/26/2023","53.8815","53.2181","53.9281","53.0500","","1.38%"
"05/25/2023","53.1489","54.5593","54.5939","53.0017","","-2.57%"
"05/24/2023","54.5510","55.0623","55.0688","54.5086","","-0.97%"
"05/23/2023","55.0826","55.5815","55.7960","55.0542","","-0.87%"
"05/22/2023","55.5647","55.8908","56.1975","55.2228","","-0.56%"
"05/19/2023","55.8777","55.0461","56.4362","55.0461","","1.44%"
"05/18/2023","55.0867","55.1950","55.3120","54.5558","","-0.41%"
"05/17/2023","55.3143","55.0852","55.3191","54.6022","","0.35%"
"05/16/2023","55.1198","55.4837","56.1424","54.9811","","-0.69%"
"05/15/2023","55.5016","54.5126","55.6182","54.4792","","1.94%"
"05/12/2023","54.4446","54.2103","54.8034","53.9965","","0.49%"
"05/11/2023","54.1769","55.2186","55.2842","54.1662","","-1.90%"
"05/10/2023","55.2281","54.9135","55.3695","54.5224","","0.59%"
"05/09/2023","54.9051","54.6663","55.1087","54.4210","","0.21%"
"05/08/2023","54.7904","55.5032","55.9497","54.7330","","-1.37%"
"05/05/2023","55.5509","54.0630","55.7179","54.0213","","2.90%"
"05/04/2023","53.9843","53.7333","54.0904","53.2366","","0.68%"
"05/03/2023","53.6188","53.9551","54.0904","53.1182","","-0.58%"
"05/02/2023","53.9324","54.2656","54.9236","53.7492","","-0.61%"
"05/01/2023","54.2621","54.9994","55.1344","53.9414","","-1.27%"
"04/28/2023","54.9588","55.1608","55.3717","54.5738","","-0.40%"
"04/27/2023","55.1775","54.8852","55.8258","54.5866","","0.63%"
"04/26/2023","54.8327","54.7495","55.4122","54.6049","","0.33%"
"04/25/2023","54.6528","54.9696","54.9696","54.6528","","-0.49%"
"04/24/2023","54.9231","53.7995","55.4577","53.5309","","2.17%"
"04/21/2023","53.7553","54.3872","54.6729","53.4566","","-1.17%"
"04/20/2023","54.3919","54.7616","54.7699","53.8518","","-0.69%"
"04/19/2023","54.7699","55.3337","55.6002","54.5534","","-1.02%"
